ALGORITHM,               INIT_STATE,            GOAL_STATE,       PATH_LENGTH,     STATE_EXPANSIONS,  MAX_QLENGTH,  RUNNING_TIME,  DELETIONS_MIDDLE_HEAP, LOCAL_LOOPS_AVOIDED, ATTEMPTED_REEXPANSIONS,   PATH
  uniform_cost_search          ,120483765          ,123456780          ,6             ,54               ,41               ,0.000000               ,54                    ,0               ,55            ,DDLURD
  uniform_cost_search          ,208135467          ,123456780          ,15            ,6110             ,3614             ,11.573000              ,6110                  ,0               ,6979          ,DDRUULLDDRRULDR
  uniform_cost_search          ,704851632          ,123456780          ,19            ,35738            ,15206            ,329.873993             ,35738                 ,0               ,45505         ,RDDLLUURRDDLLUURRDD
  uniform_cost_search          ,536407182          ,123456780          ,22            ,88556            ,25006            ,1752.432007            ,88556                 ,0               ,126758        ,RDLURULDLDRRUULLDRURDD
  uniform_cost_search          ,638541720          ,123456780          ,28            ,180398           ,24285            ,5422.773926            ,180398                ,0               ,299725        ,UULDRDLULURRDDLUURDLLURRDLDR
 astar_misplacedtiles          ,120483765          ,123456780          ,6             ,10               ,11               ,0.000000               ,10                    ,0               ,10            ,DDLURD
 astar_misplacedtiles          ,208135467          ,123456780          ,15            ,351              ,228              ,0.015000               ,351                   ,0               ,381           ,DDRUULLDDRRULDR
 astar_misplacedtiles          ,704851632          ,123456780          ,19            ,1519             ,938              ,0.553000               ,1519                  ,0               ,1674          ,RDDLLUURRDDLLUURRDD
 astar_misplacedtiles          ,536407182          ,123456780          ,22            ,7772             ,4280             ,13.536000              ,7772                  ,0               ,8956          ,RDLULURDLDRUULDRRULDDR
 astar_misplacedtiles          ,638541720          ,123456780          ,28            ,54080            ,20182            ,590.515991             ,54080                 ,0               ,71917         ,LURULDDRUULLDRURDLDLUURDLDRR
      astar_manhattan          ,120483765          ,123456780          ,6             ,7                ,7                ,0.000000               ,7                     ,0               ,7             ,DDLURD
      astar_manhattan          ,208135467          ,123456780          ,15            ,60               ,43               ,0.000000               ,60                    ,0               ,63            ,DRULDDRULULDDRR
      astar_manhattan          ,704851632          ,123456780          ,19            ,20               ,12               ,0.000000               ,20                    ,0               ,21            ,RDDLLUURRDDLLUURRDD
      astar_manhattan          ,536407182          ,123456780          ,22            ,1138             ,663              ,0.297000               ,1138                  ,0               ,1239          ,DRULDLURDRUULDLURDLDRR
      astar_manhattan          ,638541720          ,123456780          ,28            ,3962             ,2158             ,3.378000               ,3962                  ,0               ,4436          ,ULDRUULLDRULDDRRULLDRUULDDRR
